Dato;Tekst;Beløb;Afstem;Saldo;Rentedato
26-11-2012;Overførsel md;-6.000,00;N;6.915,38;26-11-2012
01-11-2012;Overførsel Afdrag lån, mor;-1.000,00;N;12.915,38;01-11-2012
01-11-2012;Overførsel Budget;-13.500,00;N;13.915,38;01-11-2012
31-10-2012;Overført ydelse 4284994;-1.150,00;N;27.415,38;31-10-2012
31-10-2012;LØNOVERFØRSEL;28.330,59;N;28.565,38;31-10-2012
01-10-2012;Overførsel Afdrag lån, mor;-1.000,00;N;234,79;01-10-2012
01-10-2012;Overførsel Budget;-13.500,00;N;1.234,79;01-10-2012
28-09-2012;Overførsel Start md;-10.500,00;N;14.734,79;28-09-2012
28-09-2012;Overførsel Div;-2.000,00;N;25.234,79;28-09-2012
28-09-2012;Overført ydelse 4284994;-1.150,00;N;27.234,79;28-09-2012
28-09-2012;LØNOVERFØRSEL;28.330,59;N;28.384,79;28-09-2012
03-09-2012;Overførsel Afdrag lån, mor;-1.000,00;N;54,20;03-09-2012
03-09-2012;Overførsel Budget;-13.500,00;N;1.054,20;03-09-2012
03-09-2012;Overførsel md;-1.200,00;N;14.554,20;03-09-2012
03-09-2012;Overførsel md;-10.000,00;N;15.754,20;03-09-2012
03-09-2012;Overførsel div;-1.500,00;N;25.754,20;03-09-2012
31-08-2012;Overført ydelse 4284994;-1.150,00;N;27.254,20;31-08-2012
31-08-2012;LØNOVERFØRSEL;28.330,59;N;28.404,20;31-08-2012
