Cat,Grp,Acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Bolig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Netflix,NETFLIX.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Tv2,TV 2/DANMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Viaplay,VIAPLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,HBO,HBONORDIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Yousee,TDC YOUSEE,Tdc film leje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Mobiltlf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Telenor,TELMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,ADSL,Telia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Div,DK HOSTMASTER,flensborghus.dk,bitmovers.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,SU-lån,STATENS ADMINISTRATION STUDIELÅN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,andre renter/gebyr,Rente,Gebyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,Underholdning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,bøger,Amazon,FUTURE PUBLISHING,ADLIBRIS,ALLERØD BOGHANDEL,BOG & IDÉ,gyldendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,biograf,KINOPALÆET,PALADS TEATRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,teater,NBT.DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
